cbfd0789e4e77ddf7d2bd5d50abd54e01df540e6,Nc1nc2n(CCN3CCN(CC3)c3cccc(Cl)c3)ncc2c2nc(nn12)-c1ccco1
9d37ae43447147b961a2b36b30bc48d967bb3d7f,Cc1cccc(c1)-c1c(nc(N)n2nc(Cc3ncccc3F)nc12)-c1ccc(F)cc1
ca731c4dfd013f77389ae54791f559abe7346741,Cn1c2nc([nH]c2c(=O)n(C)c1=O)-c1ccc(OCC(=O)NCc2ccccc2)cc1
418e8cb4c27878dfcfc510e2c8c90ac904df64c9,CC(C)n1cc(ccc1=O)-c1c(nc(N)n2nc(Cc3ncccc3F)nc12)-c1ccc(F)cc1
5d55d6c9c4b7db3624ae9d1f5d76f9b1ebb870ec,COc1cc(OCC(=O)Nc2ccc(cc2)-c2cc3n(C)c(=O)n(C)c(=O)c3[nH]2)cc(OC)c1
97af5201983114dbd40f350e7ef5607322785896,Cn1c(nc2c(NC3CCCC3)ncnc12)-c1ccccc1
7858869a8fac52cd79b0be940edd4a322478c063,O[C@@H]1[C@@H]2C[C@@H]2[C@H]([C@@H]1O)n1cnc2c(NCc3cccc(Br)c3)nc(Cl)nc12
b1bc750a820137c6bda4408b00e29ea28104d32d,CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1cnn(Cc2nc(no2)-c2cccc(Cl)c2)c1
23710cf11f845f32f31b0cee956266aba8866c25,COc1cc(ccc1OCC(=O)Nc1ccc(F)cc1)-c1cc2n(C)c(=O)n(C)c(=O)c2[nH]1
00514a76312bc2a94adef01fdccef3c73ab25838,Nc1nc(nc2sc(Cc3ccccc3)cc12)-c1ccccc1
8942bacee7b69b32e94da808648ed66cde4e69e7,Nc1nc(C(=O)NCc2cccc3cc(cnc23)[N+]([O-])=O)c2cccc(F)c2n1
efb4f48b3daa79bb1a1d340b62fab0e8f0bf6c63,Nc1nc(nc2sc(Cc3ccccc3F)cc12)-c1cccc(c1)C#N
013393fdd06d9afc890276bbda478287d837ed34,O=C(Nc1cc(nc(n1)-c1ccccc1)-c1ccccc1)C1CCCC1
95f3cce548f5cc63c038fac10d6e6a653fb98862,Nc1nc(nc2sc(nc12)-c1ccco1)-c1cccc(CO)c1
d03a4c3b46385c9eea602f52cfc1fbb7b26d4de3,COc1cc(ccc1OCC(=O)N1CCCC1)-c1nc2n(C)c(=O)n(C)c(=O)c2[nH]1
d667844266b99f5ce3615d3618b55e7647ceec77,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(nn23)-c2ccco2)cc1
4abc0603ba2d9ee2f7fb80474d89059303b1b27b,COc1cccc(c1)-c1cc(nc(N)c1C#N)-c1ccccc1
4010ec46aeca6b773a019df549d76d7278e50306,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(nn12)-c1ccco1
19fa7e9eb39050f56257c34a12bfeda4e971b970,COc1ccc(cc1OCC(=O)N1CCOCC1)-c1nc2n(C)c(=O)n(C)c(=O)c2[nH]1
f9b98299dba7a884bef46db0d36ad8a740c10857,Nc1nc(NCc2cccs2)nc2sc(nc12)-c1ccco1
638e320a3608281004b225a3cbba26399fd1052f,CCCn1c(=O)n(CC)c2nc([nH]c2c1=O)-c1cnn(Cc2cccc(c2)C(F)(F)F)c1
bb67fc3665ca54b23be8d5dbe4705004b59459be,Cc1nc2cc(C)ccc2c2nc(nn12)-c1ccc(cc1)C(=O)NCc1ccccn1
6d19b4038282b69050a160662c89f4b9a9edbdcf,Cn1cc(ccc1=O)-c1c(nc(N)n2nc(Cc3c(F)cccc3F)nc12)-c1ccc(F)cc1
18696efff6ff478c39803ec6991db6d5eee2feee,Nc1nc(cn2c1nn(-c1ccccc1)c2=O)-c1cccc(OCC#C)c1
7ecb8cfda92f749b93a61539bfd93a84bf67c631,CC(C)(C)OC(=O)NCc1nc(N)nc2sc(nc12)-c1ccccc1
7caaecd17a75e7f92ffd3152519c4d1c831b815c,Nc1nc(nc2sc(nc12)-c1ccccc1)-c1cccc(F)c1
88532559099d1c7e6aa9bcaee9a74fee7704a88e,COc1ccc(cc1)-c1nc(NCC(C)c2ccccc2)nc2nc(nn12)-c1ccco1
938a2e76909246b1731bd54b098ea9722bc920c6,CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1cnn(Cc2cccc(Cl)c2)c1
89b9b44221e92166d6d24a433e231f624d6d0ebc,Nc1nc(nc2sc(nc12)-c1ccccc1)-c1cccs1
f5034fb83cba95c2e33b279507fd776238691984,CC(C)(C)C(=O)Nc1cc(nc(n1)-c1ccccc1)-c1ccccc1
c520b9658428d822799b8d04751223795b12e44a,Nc1nc(N\N=C\c2ccc(cc2)[N+]([O-])=O)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
342829a7a4cb2b2ce25f848098362a1e36597c1a,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NCC)nc(nc12)C#CC(O)c1ccccc1
17acf70179feeb9a5f7d054ba6dac813c5ad2d5e,O=c1n(nc2c(NC3CCCCC3)nc3ncccc3n12)-c1ccccc1
f29720638fbdc34f9d1ece8d7e96c2486149ab04,CC(C)CCn1cc2c(n1)nc(NC(=O)Cc1cccc(Cl)c1)n1nc(nc21)-c1ccco1
8a72eb14e7d04ed0862477cf12ba2b9ddbe7de24,Cn1cc(ccc1=O)-c1c(nc(N)n2nc(Cc3ncccc3F)nc12)-c1cccc(Cl)c1
42075f584e35fb02749cfb45bfc0af9bb01b78d4,COc1cccc(c1)-c1cc(nc(N)c1C#N)-c1ccc(F)cc1
7c0fe8d07989596659ef33980aa54d85b5bdb0d3,Nc1nc(nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)-n1cc(cn1)-c1ccc(Cl)s1
09fcc160a8c4afd0b94d267294c17c98f8d7f7ea,CC(=O)Nc1cc(nc(n1)-c1ccccc1)-c1ccccc1
15ee25d3752f8287da920f91498f53f80f0aee89,Nc1nc(OCCc2c[nH]c3ccc(Br)cc23)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
0f3840c0e0d2ef9f10338623100a6218305b04af,Cc1cc(ccn1)-c1c(nc(N)n2nc(Cc3c(F)cccc3F)nc12)-c1ccc(F)cc1
77fb1283c93669eb3c7bb4c3adc7b89daf92729e,O=C(Nc1nc(nc2cn(nc12)-c1ccccc1)-c1ccccc1)c1ccccc1
c53e37090f55bffe92ecabef165ebf9a7ea8a17f,Cn1cc2c(n1)nc(NC(=O)NC1CCN(Cc3ccccc3)CC1)n1nc(nc21)-c1ccco1
46a5e46987ab9b6b735e3b9c2880e44a76228f50,Cn1cc2c(n1)nc(NC(=O)Nc1cccc(Cl)c1)n1nc(nc21)-c1ccco1
e8404f068a55f5e2ad099c51c9f5b489ef0aa9da,Nc1nc(nc2nc(nn12)-c1ccco1)N1CCN(CC1)C(=O)COc1ccccc1
2ee3f542856c02e2493c36ae30672a1e29918cb4,Cn1c(nc2c(NC3CCCCC3)ncnc12)-c1cccc(Cl)c1
d77a260d555c1c1f9cf997d6221c7fca36880cb7,Cc1nc2c(c(nn(Cc3ccccc3)c2=O)-c2ccccc2)c2cc(nn12)-c1ccccc1
48fbf93b9491a634e472a9aeec877c6209ff1141,Cn1cc2c(n1)nc(NC(=O)Nc1ccncc1)n1nc(nc21)-c1ccco1
75d4d96601282395c382b41a665170a237bbcfd4,Cc1ccccc1CNC(=O)c1cc(nc(N)n1)-c1ccccc1Cl
d336ceb0daa0cf607f5bb22e58d4d4948e3dae1a,COc1cc(cc(OC)c1OC)-c1nnc(N)nc1-c1ccc(C)o1
0de36ed460f0fbcb923dbe8e4304c7ed9be1e616,Cc1cnc2ccc(cn12)-c1c(nc(N)n2nc(Cc3c(F)cccc3F)nc12)-c1ncco1
d4f965eb9b38302a528585f0ee272ded159908e8,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NCC)nc(nc12)C#CC(O)c1ccc(C)cc1
df382b0fb23b2cb94c94008d8a0059e00b0f99f6,Nc1nc2n(CCCc3ccc(OCC(O)=O)cc3)ncc2c2nc(nn12)-c1ccco1
389910dcfc62721a8dcb3d9d5b0155b33e251c87,Cc1ccc(cc1)C(=O)Nc1nc(c(s1)-c1ccccc1)-c1ccccc1
7b5b2caf449d9497606156ec918b30f2c6875e27,Nc1nc(C(=O)NCc2cccc3cc(cnc23)C(=O)N2CCCCC2)c2cccc(F)c2n1
